No.	NAME	nCL	C%	X%	SpMAD_L	SpDiam_B(m)	ChiA_B(v)	SpMax_B(v)	SpDiam_B(v)	SpMAD_B(v)	SM6_B(v)	ChiA_B(e)	SpMax_B(e)	SpDiam_B(e)	SpMAD_B(e)	ChiA_B(p)	SpMax_B(p)	SpDiam_B(p)	SpMAD_B(p)	SM5_B(p)	SM6_B(p)	ChiA_B(i)	SpMax_B(i)	SpDiam_B(i)	ATS4e	ATS4i	ATS4s	MATS2m	MATS1v	MATS2v	MATS3v	MATS2e	MATS1p	MATS3p	MATS1i	MATS2i	MATS3i	MATS2s	GATS4m	GATS3v	GATS4e	GATS3p	GATS1i	GATS3i	GATS4s	SpMax1_Bh(v)	SpMax1_Bh(p)	SpMax1_Bh(i)	SpMin1_Bh(m)	SpMin1_Bh(v)	SpMin1_Bh(e)	SpMin1_Bh(p)	SpMin1_Bh(i)	P_VSA_LogP_6	P_VSA_m_4	P_VSA_ppp_P	P_VSA_ppp_con	Eta_betaP	Eta_betaP_A	Eta_beta_A	Eta_F_A	Eta_sh_y	SpMax_EA(bo)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMAD_EA(dm)	SpMax_EA(ri)	SpDiam_EA(ri)	SpMAD_EA(ri)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(ri)	SM03_EA	SM05_EA	SM09_EA	SM03_EA(ed)	SM03_EA(bo)	SM04_EA(bo)	SM05_EA(bo)	SM07_EA(bo)	SM08_EA(bo)	SM09_EA(bo)	SM10_EA(bo)	SM11_EA(bo)	SM12_EA(bo)	SM13_EA(bo)	SM14_EA(bo)	SM15_EA(bo)	SM03_EA(dm)	SM05_EA(dm)	SM07_EA(dm)	SM09_EA(dm)	SM11_EA(dm)	SM13_EA(dm)	SM15_EA(dm)	SM03_EA(ri)	SM04_EA(ri)	SM05_EA(ri)	SM06_EA(ri)	SM08_EA(ri)	SM09_EA(ri)	SM10_EA(ri)	SM11_EA(ri)	SM12_EA(ri)	SM13_EA(ri)	SM14_EA(ri)	SM15_EA(ri)	SM04_AEA(bo)	SM05_AEA(bo)	SM06_AEA(bo)	SM07_AEA(bo)	SM08_AEA(bo)	SM11_AEA(ri)	Eig01_EA(bo)	Eig05_EA(dm)	Eig01_EA(ri)	Eig01_AEA(bo)	Eig01_AEA(ri)	SpPosA_RG	SpMAD_RG	WiA_G/D	Chi_G/D	TDB04u	TDB02m	TDB03m	TDB01e	TDB02e	TDB04e	TDB01i	TDB02i	TDB03i	TDB04i	Mor23m	Mor24m	Mor13p	G2v	G2e	G2p	G2i	HATS3u	HATS4u	HATS3m	HATS0v	HATS2v	HATS3v	HATS4v	HATS0e	HATS2e	HATS3e	HATS4e	HATS2p	HATS3p	HATS4p	HATSp	HATS2i	HATS3i	HATS4i	HATS3s	HATS4s	R3m	R2m+	R3m+	R4v	R3v+	R3e+	R2p+	R3p+	R4s	R4s+	nCconj	nR=Ct	nR=CX2	C-017	C-018	C-020	H-048	NdssC	NsCl	CATS2D_03_AL	B02[C-C]	B02[Cl-Cl]	B03[Cl-Cl]	F02[Cl-Cl]	F03[Cl-Cl]	Ui	Molecule	U	V
1	*****	0	60.0	0.0	1.409	5.841	0.258	3.976	5.841	1.692	8.661	0.258	3.976	5.841	1.692	0.258	3.976	5.841	1.692	7.371	8.661	0.258	3.976	5.841	3.690	3.897	4.571	-0.074	0.061	-0.074	-0.056	-0.074	0.061	-0.056	0.061	-0.074	-0.056	-0.139	1.159	0.968	1.159	0.968	0.720	0.968	0.995	4.116	4.120	4.163	2.115	2.096	2.041	2.084	2.026	0.000	0.000	0.000	82.181	11.500	0.958	1.542	0.751	0.333	4.602	7.602	2.190	0.000	3.193	5.193	1.518	4.646	1.543	4.193	3.219	5.740	10.450	6.940	4.227	6.780	7.518	10.646	12.344	13.724	15.320	16.785	18.340	19.841	21.379	22.895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.219	5.323	5.740	7.272	9.417	10.450	11.663	12.772	13.952	15.093	16.261	17.414	6.829	8.201	9.612	11.052	12.515	4.602	4.602	0.000	3.193	4.646	4.193	0.432	0.865	1.115	1.018	4.282	1.426	1.497	1.269	2.260	4.085	1.374	2.518	3.705	5.007	-0.167	0.102	-0.476	0.188	0.188	0.188	0.188	0.333	0.385	0.072	0.068	0.085	0.106	0.129	0.238	0.191	0.310	0.360	0.103	0.132	0.161	1.448	0.233	0.423	0.480	0.629	0.774	0.309	0.030	0.023	0.336	0.023	0.058	0.030	0.023	1.877	0.076	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.907	Acenaphthalene.mol2	1.33	-0.46
2	*****	0	57.1	0.0	1.355	5.243	0.277	3.624	5.243	1.719	8.057	0.277	3.624	5.243	1.719	0.277	3.624	5.243	1.719	6.839	8.057	0.277	3.624	5.243	2.885	3.141	3.964	-0.212	-0.000	-0.213	-0.101	-0.213	-0.000	-0.101	-0.000	-0.213	-0.101	-0.114	1.159	1.027	1.159	1.027	0.812	1.027	1.442	3.846	3.854	3.928	2.020	1.990	1.903	1.972	1.877	52.123	0.000	0.000	50.567	8.000	1.000	1.500	0.676	0.125	3.539	6.539	2.033	0.000	2.499	4.499	1.355	4.019	1.492	3.499	1.946	4.111	8.080	5.094	2.674	5.734	5.663	8.432	10.401	11.100	12.838	13.716	15.306	16.301	17.793	18.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	4.263	4.111	5.838	7.530	8.080	9.282	9.976	11.066	11.845	12.869	13.700	6.147	7.414	8.708	10.023	11.354	3.539	3.539	0.000	2.499	4.019	3.499	0.443	0.886	1.104	0.953	4.212	1.202	1.109	1.219	2.221	3.960	1.341	2.537	3.722	5.165	-0.137	0.071	-0.199	0.235	0.574	0.284	0.574	0.378	0.416	0.061	0.091	0.074	0.100	0.106	0.354	0.180	0.349	0.385	0.092	0.131	0.144	1.340	0.221	0.491	0.535	0.786	1.046	0.202	0.037	0.030	0.180	0.030	0.080	0.037	0.030	1.676	0.216	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2.585	Acetylene,phenyl	-1.88	0.37
3	*****	0	36.4	0.0	1.312	4.605	0.305	3.272	4.602	1.426	7.191	0.295	3.338	4.605	1.429	0.311	3.254	4.626	1.444	5.983	7.144	0.296	3.322	4.598	2.834	3.192	3.850	0.059	-0.152	0.086	-0.868	-0.034	-0.174	-0.995	-0.175	0.073	-1.000	-0.019	0.895	1.799	1.823	1.958	1.375	1.964	1.752	3.546	3.549	3.715	1.867	1.832	1.655	1.816	1.614	0.000	0.000	0.000	55.522	3.000	0.600	1.050	0.528	0.214	2.814	4.814	1.671	0.000	2.205	3.759	1.277	3.596	1.389	3.187	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	3.449	3.761	4.875	6.387	7.071	7.936	8.674	9.502	10.266	11.075	11.853	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	2.205	3.596	3.187	0.431	0.862	1.034	0.926	3.597	0.803	0.840	1.213	2.112	3.621	1.373	2.623	3.721	5.249	0.021	0.009	-0.010	0.224	0.224	0.224	0.224	0.618	2.060	0.134	0.167	0.108	0.192	0.221	1.217	0.844	0.607	2.064	0.167	0.240	0.317	1.886	1.313	0.746	3.006	2.516	5.974	0.221	0.051	0.093	0.168	0.050	0.099	0.052	0.040	4.463	0.833	3	1	0	1	0	0	0	1	0	2	1	0	0	0	0	1.585	Acrolein,methyl.mol2	1.73	0.77
4	*****	0	37.5	0.0	1.207	4.208	0.326	3.053	4.203	1.598	6.777	0.312	3.162	4.207	1.599	0.334	3.022	4.239	1.608	5.623	6.705	0.315	3.136	4.197	1.663	1.922	2.833	-0.290	-0.197	-0.366	-0.066	-0.124	-0.237	-0.176	-0.238	-0.347	-0.202	-0.164	1.312	0.884	2.175	0.922	1.333	0.934	2.136	3.428	3.427	3.617	1.762	1.739	1.546	1.731	1.505	0.000	0.000	0.000	61.812	3.000	0.750	1.187	0.530	0.000	2.000	4.000	1.333	0.000	1.483	2.966	0.989	3.000	1.111	2.469	0.000	0.000	0.000	-0.000	0.000	3.497	0.000	0.000	6.240	0.000	7.625	0.000	9.011	0.000	10.397	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.368	0.000	3.104	3.868	0.000	4.645	0.000	5.428	0.000	6.214	0.000	4.585	5.620	6.677	7.748	8.827	2.000	2.000	0.000	1.483	3.000	2.469	0.433	0.867	1.059	0.912	3.639	0.748	0.729	1.220	2.210	3.988	1.365	2.662	3.927	5.312	0.057	-0.024	0.006	0.250	0.250	0.250	0.250	0.676	0.464	0.073	0.121	0.083	0.105	0.060	0.685	0.395	0.672	0.496	0.100	0.136	0.074	0.876	0.513	0.953	0.677	2.347	1.862	0.104	0.069	0.069	0.047	0.037	0.181	0.040	0.026	1.378	0.620	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1.585	Acrolein.mol2	-2.75	0.59
5	*****	0	32.8	0.0	1.288	4.651	0.328	3.253	4.650	1.323	8.228	0.324	3.398	4.650	1.322	0.329	3.210	4.680	1.327	7.145	8.198	0.324	3.395	4.648	5.044	5.372	5.600	-0.189	-0.038	-0.242	0.009	0.119	-0.047	-0.003	-0.067	-0.235	-0.014	0.109	1.000	0.964	1.024	0.975	1.551	0.981	0.960	3.722	3.742	3.928	2.089	2.031	1.844	1.996	1.784	0.000	0.000	0.000	55.093	3.000	0.130	0.641	0.248	0.045	2.918	4.918	1.335	0.096	2.350	4.325	1.257	3.697	1.290	3.354	1.946	3.932	7.557	4.691	2.565	5.293	5.081	7.376	8.817	9.583	10.823	11.755	12.902	13.910	15.015	16.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.012	4.938	4.005	6.237	7.639	7.615	9.118	9.356	10.657	11.082	12.244	12.801	6.286	7.381	8.521	9.691	10.887	2.918	2.918	0.000	2.350	3.697	3.354	0.453	0.905	1.070	0.900	3.658	0.599	0.592	1.207	2.061	3.465	1.403	2.616	3.745	4.663	-0.088	0.265	0.534	0.237	0.248	0.208	0.184	0.367	0.340	0.023	0.026	0.039	0.050	0.045	0.164	0.168	0.338	0.315	0.053	0.077	0.070	1.967	0.237	0.515	0.478	0.585	0.532	0.208	0.033	0.028	0.302	0.015	0.031	0.016	0.009	3.184	0.180	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1.585	Acrylamide,N-octadecyl.mol2	1.56	0.35
6	*****	0	30.0	0.0	1.312	4.609	0.309	3.233	4.607	1.445	7.134	0.292	3.377	4.608	1.439	0.317	3.190	4.638	1.470	5.906	7.050	0.292	3.366	4.604	2.235	2.515	3.434	0.125	-0.025	-0.204	-0.297	0.320	0.003	-0.240	0.079	-0.328	-0.315	0.273	1.505	1.099	1.540	1.035	1.265	1.076	1.602	3.462	3.450	3.672	1.757	1.769	1.563	1.781	1.522	0.000	0.000	32.897	55.093	3.000	0.600	1.100	0.590	0.224	2.814	4.814	1.671	0.490	2.221	3.728	1.268	3.596	1.389	3.202	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.012	3.454	3.832	4.898	6.432	7.151	8.002	8.764	9.586	10.368	11.177	11.967	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	2.221	3.596	3.202	0.458	0.916	1.035	0.931	3.658	1.084	0.860	1.254	2.250	3.815	1.459	2.708	3.983	5.181	-0.009	-0.009	-0.080	0.231	0.231	0.231	0.231	1.355	0.995	0.204	0.241	0.165	0.262	0.148	1.326	0.650	1.501	1.052	0.187	0.280	0.187	1.943	0.873	1.931	1.436	7.229	3.872	0.247	0.170	0.122	0.126	0.065	0.198	0.047	0.042	3.096	1.341	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1.585	Acrylamide.mol2	-1.82	-0.07
7	*****	0	30.4	0.0	1.371	5.050	0.303	3.357	5.058	1.438	7.979	0.285	3.687	5.049	1.443	0.313	3.269	5.126	1.462	6.668	7.835	0.287	3.701	5.056	3.950	4.130	5.455	0.090	-0.150	-0.101	0.052	0.204	-0.172	-0.093	-0.081	-0.238	-0.067	0.238	1.372	0.903	1.592	1.024	1.543	1.036	1.578	3.643	3.616	3.924	1.959	1.996	1.747	2.049	1.699	0.000	0.000	0.000	57.579	6.000	0.500	1.083	0.753	0.268	3.525	5.525	1.715	0.779	2.602	4.305	1.294	4.063	1.395	3.678	2.944	5.142	9.156	6.043	3.761	5.700	6.479	9.004	10.309	11.488	12.748	13.969	15.219	16.457	17.707	18.954	2.361	4.506	6.556	8.548	10.509	12.452	14.386	2.866	4.577	4.971	6.203	7.958	8.794	9.777	10.671	11.628	12.549	13.498	14.433	6.317	7.614	8.938	10.279	11.631	3.525	3.525	0.000	2.602	4.063	3.678	0.426	0.852	0.946	1.017	3.698	1.162	1.285	1.347	2.344	4.198	1.482	2.735	3.917	5.007	0.262	-0.050	0.101	0.181	0.181	0.233	0.181	0.630	0.787	0.170	0.129	0.126	0.157	0.184	0.533	0.459	0.654	0.896	0.131	0.165	0.187	2.326	0.576	0.872	1.104	2.346	4.226	0.533	0.166	0.052	0.398	0.028	0.093	0.033	0.025	8.146	0.523	3	0	0	0	0	0	0	1	0	6	1	0	0	0	0	2.322	Acrylate,2-nitrobutyl.mol2	-2.39	0.44
8	*****	0	45.5	0.0	1.405	5.365	0.284	3.670	5.362	1.589	8.289	0.276	3.704	5.365	1.590	0.289	3.663	5.381	1.596	7.033	8.254	0.277	3.695	5.359	3.751	3.925	5.048	0.047	-0.038	0.113	-0.122	0.159	-0.089	-0.212	-0.101	0.209	-0.229	0.087	1.303	1.086	1.620	1.201	1.139	1.217	1.864	3.872	3.877	3.958	2.037	2.013	1.923	2.001	1.900	0.000	0.000	0.000	101.856	9.000	0.750	1.312	0.825	0.265	3.778	6.778	1.920	0.279	2.909	4.909	1.383	4.273	1.437	3.921	2.944	5.303	9.666	6.315	3.651	6.090	6.534	9.255	10.916	11.936	13.468	14.604	16.060	17.267	18.677	19.929	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.932	4.897	5.272	6.713	8.693	9.615	10.752	11.753	12.851	13.887	14.968	16.021	6.476	7.789	9.135	10.506	11.894	3.778	3.778	0.000	2.909	4.273	3.921	0.426	0.851	1.013	1.005	3.979	1.255	1.555	1.286	2.299	4.109	1.396	2.624	3.663	4.899	-0.160	0.067	-0.250	0.183	0.183	0.183	0.183	0.454	0.590	0.113	0.116	0.114	0.137	0.167	0.489	0.407	0.434	0.597	0.144	0.164	0.199	2.687	0.552	0.583	0.773	1.323	2.014	0.418	0.055	0.059	0.380	0.032	0.078	0.045	0.031	4.503	0.416	3	1	0	1	0	0	0	2	0	4	1	0	0	0	0	2.585	Acrylate,a-phenyl,methyl.mol2	-2.13	1.20
9	*****	0	45.5	0.0	1.364	5.127	0.289	3.555	5.123	1.581	8.208	0.281	3.579	5.126	1.582	0.294	3.551	5.144	1.590	6.981	8.170	0.283	3.571	5.121	3.695	3.910	4.790	-0.077	-0.038	-0.132	-0.176	0.190	-0.089	-0.238	-0.101	-0.082	-0.249	0.106	1.272	1.124	1.736	1.192	1.139	1.204	1.566	3.841	3.847	3.941	2.033	2.008	1.904	1.994	1.877	0.000	0.000	0.000	108.146	9.000	0.750	1.312	0.770	0.176	3.448	6.448	1.849	0.394	2.504	4.504	1.334	3.912	1.414	3.535	2.565	4.710	8.590	5.602	3.277	5.911	5.999	8.549	10.398	11.054	12.750	13.546	15.135	16.034	17.542	18.519	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.546	4.640	4.636	6.183	7.835	8.417	9.545	10.249	11.292	12.070	13.063	13.888	6.334	7.582	8.859	10.154	11.463	3.448	3.448	0.000	2.504	3.912	3.535	0.431	0.862	1.020	0.998	3.950	1.217	1.253	1.286	2.314	4.061	1.396	2.625	3.734	5.022	-0.160	0.195	-0.172	0.183	0.183	0.183	0.211	0.492	0.803	0.088	0.113	0.107	0.126	0.150	0.623	0.398	0.475	0.808	0.136	0.159	0.200	2.501	0.550	0.636	1.096	1.445	2.378	0.317	0.065	0.056	0.287	0.030	0.073	0.037	0.028	3.902	0.793	3	0	0	0	0	0	0	1	0	4	1	0	0	0	0	2.585	Acrylate,benzyl.mol2	-2.68	0.28
10	*****	0	33.3	0.0	1.301	4.656	0.323	3.248	4.651	1.392	7.466	0.311	3.421	4.655	1.394	0.330	3.194	4.690	1.408	6.290	7.385	0.313	3.382	4.644	3.554	3.801	4.583	-0.015	-0.140	-0.166	0.076	0.227	-0.233	-0.003	-0.251	-0.206	-0.027	0.189	1.226	0.834	1.709	0.891	1.609	0.912	1.623	3.547	3.548	3.770	1.961	1.911	1.689	1.890	1.633	0.000	0.000	0.000	57.579	3.000	0.333	0.861	0.482	0.120	2.918	4.918	1.451	0.419	2.254	3.946	1.197	3.697	1.322	3.317	1.946	3.932	7.557	4.691	2.565	4.745	5.081	7.376	8.661	9.583	10.750	11.755	12.869	13.910	15.001	16.058	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	1.911	3.879	3.810	5.219	6.685	7.248	8.225	8.904	9.805	10.546	11.406	12.180	5.602	6.792	8.022	9.275	10.545	2.918	2.918	0.000	2.254	3.697	3.317	0.438	0.876	1.000	0.958	3.729	0.796	0.823	1.253	2.179	3.856	1.404	2.655	3.794	4.863	0.048	0.007	0.130	0.201	0.185	0.185	0.185	0.768	0.666	0.069	0.095	0.086	0.107	0.097	0.539	0.438	0.716	0.664	0.120	0.154	0.134	2.057	0.637	1.081	0.941	1.679	1.848	0.208	0.072	0.063	0.208	0.034	0.083	0.038	0.021	3.297	0.549	3	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1.585	Acrylate,butyl.mol2	-2.22	0.12
11	*****	0	33.3	0.0	1.304	4.652	0.320	3.245	4.647	1.420	7.288	0.304	3.420	4.651	1.423	0.329	3.190	4.686	1.442	6.078	7.189	0.307	3.380	4.640	2.861	3.007	4.234	0.090	-0.192	-0.090	0.221	0.217	-0.334	0.185	-0.359	-0.182	0.157	0.186	1.702	0.636	1.990	0.636	1.652	0.671	2.396	3.482	3.463	3.687	1.822	1.809	1.579	1.816	1.548	0.000	0.000	0.000	57.579	3.000	0.429	0.964	0.553	0.158	2.916	4.916	1.516	0.558	2.248	3.798	1.173	3.694	1.341	3.308	1.946	3.932	7.548	4.691	2.565	4.635	5.081	7.376	8.633	9.581	10.734	11.749	12.856	13.902	14.988	16.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	3.616	3.810	5.025	6.553	7.242	8.133	8.889	9.735	10.521	11.347	12.146	5.451	6.671	7.924	9.198	10.485	2.916	2.916	0.000	2.248	3.694	3.308	0.431	0.863	1.001	0.960	3.866	0.933	1.003	1.277	2.256	4.196	1.409	2.692	3.859	4.885	0.039	0.022	0.065	0.298	0.204	0.204	0.204	0.949	0.459	0.087	0.125	0.106	0.123	0.120	0.814	0.628	0.884	0.535	0.158	0.177	0.123	2.012	0.943	1.351	0.627	2.110	2.721	0.191	0.079	0.069	0.182	0.037	0.134	0.036	0.024	3.447	0.799	3	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1.585	Acrylate,ethyl.mol2	-1.99	0.08
12	*****	0	33.3	0.0	1.307	4.644	0.319	3.240	4.638	1.494	7.189	0.298	3.416	4.643	1.496	0.329	3.185	4.679	1.509	5.950	7.080	0.302	3.376	4.631	2.675	2.836	4.043	0.125	-0.237	0.125	-0.144	0.125	-0.426	-0.278	-0.456	0.125	-0.310	0.127	1.975	1.060	2.130	1.229	1.690	1.272	2.643	3.460	3.442	3.651	1.748	1.757	1.551	1.776	1.524	0.000	0.000	0.000	57.579	3.000	0.500	1.042	0.605	0.187	2.903	4.903	1.484	0.670	2.233	3.754	1.114	3.679	1.273	3.284	1.946	3.932	7.459	4.691	2.565	4.575	5.081	7.358	8.590	9.548	10.687	11.704	12.803	13.847	14.927	15.983	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	1.911	3.522	3.810	4.951	6.483	7.191	8.057	8.819	9.650	10.434	11.250	12.045	5.366	6.604	7.870	9.151	10.441	2.903	2.903	-1.674	2.233	3.679	3.284	0.426	0.852	1.016	0.950	3.748	1.041	1.356	1.299	2.332	4.163	1.414	2.735	3.775	4.957	0.024	0.039	0.018	0.218	0.218	0.218	0.218	0.400	0.766	0.120	0.153	0.117	0.109	0.165	1.143	0.907	0.423	0.911	0.180	0.111	0.172	1.910	1.398	0.539	1.077	2.154	4.608	0.245	0.082	0.085	0.183	0.046	0.137	0.051	0.029	4.397	1.121	3	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1.585	Acrylate,methyl.mol2	-2.34	0.16
13	*****	0	33.3	0.0	1.296	4.657	0.326	3.249	4.651	1.359	7.747	0.318	3.421	4.656	1.360	0.330	3.195	4.691	1.369	6.612	7.686	0.319	3.383	4.644	4.222	4.515	4.982	-0.102	-0.091	-0.211	0.039	0.216	-0.145	-0.002	-0.157	-0.224	-0.014	0.188	1.059	0.907	1.261	0.940	1.569	0.948	1.191	3.648	3.665	3.858	2.047	1.990	1.793	1.957	1.732	0.000	0.000	0.000	57.579	3.000	0.231	0.750	0.382	0.081	2.918	4.918	1.389	0.279	2.255	4.140	1.220	3.697	1.305	3.318	1.946	3.932	7.557	4.691	2.565	4.934	5.081	7.376	8.708	9.583	10.772	11.755	12.879	13.910	15.005	16.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	4.282	3.810	5.579	6.984	7.248	8.460	8.904	9.983	10.546	11.539	12.181	5.849	6.999	8.191	9.412	10.655	2.918	2.918	0.000	2.255	3.697	3.318	0.444	0.889	1.031	0.927	3.696	0.691	0.691	1.233	2.120	3.628	1.400	2.628	3.754	4.737	0.002	0.084	0.241	0.250	0.197	0.222	0.231	0.590	0.521	0.040	0.054	0.063	0.076	0.066	0.327	0.299	0.546	0.494	0.086	0.116	0.102	1.987	0.425	0.832	0.736	1.060	1.001	0.204	0.053	0.048	0.242	0.026	0.056	0.025	0.017	3.158	0.325	3	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1.585	Acrylate,Ocytl.mol2	3.01	0.41
14	*****	0	33.3	0.0	1.288	4.657	0.328	3.249	4.652	1.323	8.224	0.323	3.422	4.656	1.324	0.330	3.195	4.691	1.329	7.135	8.187	0.324	3.383	4.645	5.020	5.338	5.592	-0.172	-0.049	-0.235	0.017	0.181	-0.075	-0.001	-0.081	-0.237	-0.006	0.171	1.002	0.955	1.039	0.972	1.536	0.974	0.968	3.720	3.740	3.923	2.089	2.030	1.843	1.995	1.783	0.000	0.000	0.000	57.579	3.000	0.130	0.641	0.254	0.045	2.918	4.918	1.335	0.152	2.255	4.228	1.244	3.697	1.290	3.318	1.946	3.932	7.557	4.691	2.565	5.293	5.081	7.376	8.817	9.583	10.823	11.755	12.902	13.910	15.015	16.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	4.886	3.810	6.141	7.484	7.248	8.887	8.904	10.339	10.546	11.828	12.181	6.286	7.381	8.521	9.691	10.887	2.918	2.918	0.000	2.255	3.697	3.318	0.449	0.898	1.067	0.903	3.661	0.614	0.608	1.215	2.075	3.492	1.395	2.605	3.724	4.650	-0.029	0.213	0.550	0.341	0.438	0.341	0.323	0.365	0.336	0.025	0.028	0.040	0.050	0.045	0.168	0.173	0.336	0.314	0.053	0.076	0.069	1.973	0.241	0.511	0.472	0.588	0.558	0.217	0.037	0.029	0.301	0.016	0.032	0.017	0.010	3.231	0.207	3	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1.585	Acrylate,Ocytldecyl.mol2	-3.01	0.24
15	*****	1	33.3	6.7	1.307	4.797	0.321	3.247	4.650	1.433	7.391	0.305	3.421	4.654	1.433	0.327	3.194	4.689	1.452	6.221	7.323	0.309	3.382	4.643	2.879	3.004	4.244	-0.172	-0.144	-0.195	0.073	0.010	-0.214	-0.051	-0.357	-0.195	0.118	0.043	0.911	0.815	1.742	0.935	1.637	0.716	2.302	3.489	3.473	3.686	1.764	1.788	1.575	1.802	1.549	0.000	39.149	0.000	57.579	3.000	0.375	0.937	0.541	0.129	2.918	4.918	1.439	0.478	2.250	3.813	1.078	3.696	1.288	3.313	1.946	3.932	7.557	4.691	2.565	4.691	5.081	7.376	8.648	9.583	10.745	11.754	12.866	13.909	14.998	16.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	3.658	3.810	5.049	6.568	7.244	8.144	8.894	9.746	10.528	11.358	12.156	5.529	6.733	7.974	9.237	10.515	2.918	2.918	0.000	2.250	3.696	3.313	0.409	0.818	1.029	0.938	3.907	1.343	1.765	1.365	2.434	4.344	1.462	2.781	3.932	4.915	0.136	0.036	0.061	0.228	0.228	0.228	0.273	0.955	0.447	0.119	0.172	0.147	0.153	0.126	0.843	0.693	0.934	0.525	0.219	0.225	0.130	2.529	0.955	1.351	0.611	2.532	2.617	0.232	0.097	0.068	0.196	0.037	0.132	0.060	0.045	3.358	0.805	3	0	0	0	0	0	0	1	1	3	1	0	0	0	0	1.585	Acrylate,2-chloroethyl.mol2	2.38	0.25
16	*****	1	33.3	8.3	1.387	5.157	0.305	3.402	4.904	1.397	7.499	0.287	3.536	4.904	1.387	0.313	3.381	4.952	1.432	6.258	7.445	0.291	3.500	4.894	2.697	2.833	4.131	0.195	-0.166	0.446	-0.499	-0.002	-0.247	-0.842	-0.454	0.239	-0.471	0.114	0.999	1.354	1.912	1.836	1.673	1.377	2.493	3.500	3.491	3.649	1.669	1.723	1.535	1.747	1.526	0.000	39.149	0.000	51.604	3.000	0.429	1.000	0.607	0.296	3.282	5.282	1.679	0.558	2.369	3.912	1.135	3.981	1.386	3.552	2.565	4.710	8.679	5.485	3.219	5.017	5.832	8.281	9.535	10.682	11.894	13.068	14.264	15.448	16.639	17.826	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.215	3.726	4.162	5.277	6.939	7.737	8.640	9.476	10.355	11.207	12.076	12.934	5.740	7.051	8.387	9.738	11.098	3.282	3.282	0.000	2.369	3.981	3.552	0.388	0.777	1.052	0.924	3.793	2.019	3.527	1.408	2.512	4.341	1.479	2.805	3.934	4.986	-0.009	0.058	0.083	0.218	0.218	0.218	0.218	0.439	0.661	0.545	0.299	0.162	0.205	0.174	1.241	0.883	0.562	0.795	0.227	0.212	0.182	2.840	1.330	0.584	0.925	4.845	4.127	0.755	0.248	0.401	0.202	0.079	0.171	0.104	0.057	4.267	1.047	3	0	0	0	0	0	0	2	1	4	1	0	0	0	0	1.585	Acrylate,a_chloro-,methyl.mol2	-1.55	0.64
